"term","estimate","std.error","statistic","p.value","conf.low","conf.high","dv"
"(Intercept)",4.42566371681402,0.0961554713925726,46.0261246990868,0,4.23710764098898,4.61421979263907,"Support reintegration (Q2)"
"STATEBorno",2.18027842548464,0.126548875160505,17.2287459901903,8.10571394764452e-63,1.93212240321401,2.42843444775527,"Support reintegration (Q2)"
"(Intercept)",2.57258791704239,0.0422098905385368,60.9475145332031,0,2.48981592251547,2.6553599115693,"Support reintegration (Q1)"
"STATEBorno",0.683116252902515,0.0522921910776104,13.0634467369833,1.02495625736189e-37,0.580573249391886,0.785659256413144,"Support reintegration (Q1)"
